#        k    p_h_pos  p_h1_mass   p_hp_h1m   p_hp_h1m
   4.55285     8.35204e+01     1.46228e+03     8.03835e+01     2.75639e+00
   4.57740     8.30745e+01     1.46189e+03     8.08502e+01     1.28057e+01
   4.60194     8.30886e+01     1.45339e+03     8.12241e+01     1.74955e+01
   4.62649     8.28845e+01     1.45370e+03     8.06085e+01     7.49542e+00
   4.65103     8.25170e+01     1.44576e+03     8.03836e+01     6.89011e+00
   4.67557     8.21864e+01     1.44508e+03     8.05960e+01     1.57571e+01
   4.70012     8.23602e+01     1.44153e+03     8.06621e+01     1.35092e+01
   4.72466     8.16692e+01     1.43300e+03     8.00493e+01     1.55152e+01
   4.74920     8.12598e+01     1.42397e+03     7.93226e+01     9.05805e+00
   4.77375     8.15469e+01     1.42110e+03     7.87876e+01     1.16038e+01
   4.79829     8.10662e+01     1.41016e+03     7.90818e+01     1.64492e+01
   4.82284     8.07730e+01     1.40024e+03     7.84071e+01     1.58938e+01
   4.84738     8.07017e+01     1.40221e+03     7.88808e+01     1.92854e+01
   4.87192     8.03526e+01     1.39715e+03     7.76887e+01     1.32529e+01
   4.89647     7.96437e+01     1.38647e+03     7.78580e+01     1.25546e+01
   4.92101     8.01195e+01     1.39393e+03     7.82534e+01     1.39265e+01
   4.94555     7.97622e+01     1.38317e+03     7.82932e+01     2.08463e+01
   4.97010     7.96019e+01     1.37747e+03     7.75460e+01     1.24327e+01
   4.99464     7.93654e+01     1.36869e+03     7.59905e+01     2.56452e+00
   5.01919     7.89630e+01     1.36563e+03     7.65208e+01     8.89934e+00
   5.04373     7.90078e+01     1.36308e+03     7.67641e+01     9.62219e+00
   5.06827     7.89614e+01     1.35554e+03     7.70999e+01     1.34432e+01
   5.09282     7.86691e+01     1.34152e+03     7.65450e+01     7.95656e+00
   5.11736     7.84948e+01     1.32937e+03     7.57833e+01     1.33124e+01
   5.14190     7.80193e+01     1.32805e+03     7.51406e+01     5.23831e+00
   5.16645     7.76784e+01     1.32521e+03     7.50766e+01     1.28485e+01
   5.19099     7.73140e+01     1.31934e+03     7.43564e+01     9.58343e+00
   5.21553     7.72123e+01     1.31235e+03     7.43183e+01     1.00352e+01
   5.24008     7.70932e+01     1.31751e+03     7.52706e+01     1.53616e+01
   5.26462     7.70755e+01     1.32178e+03     7.49593e+01     1.39484e+01
   5.28917     7.69374e+01     1.31767e+03     7.45836e+01     1.42919e+01
   5.31371     7.66989e+01     1.31536e+03     7.42740e+01     1.24669e+01
   5.33825     7.62394e+01     1.31560e+03     7.41490e+01     1.12796e+01
   5.36280     7.62060e+01     1.31244e+03     7.42317e+01     1.72732e+01
   5.38734     7.58175e+01     1.30713e+03     7.31117e+01     1.22292e+01
   5.41188     7.56589e+01     1.29913e+03     7.36920e+01     1.25335e+01
   5.43643     7.53062e+01     1.29672e+03     7.32220e+01     1.00700e+01
   5.46097     7.51811e+01     1.29526e+03     7.36167e+01     2.08486e+01
   5.48552     7.50637e+01     1.29148e+03     7.29404e+01     1.64518e+01
   5.51006     7.48223e+01     1.27770e+03     7.24907e+01     1.53125e+01
   5.53460     7.44803e+01     1.26948e+03     7.11901e+01     1.34416e+01
   5.55915     7.43458e+01     1.26876e+03     7.16812e+01     1.42270e+01
   5.58369     7.40848e+01     1.26476e+03     7.24523e+01     1.42277e+01
   5.60823     7.39163e+01     1.25194e+03     7.11955e+01     1.23081e+01
   5.63278     7.37803e+01     1.24463e+03     7.06581e+01     1.24487e+01
   5.65732     7.35873e+01     1.24870e+03     7.10732e+01     1.52587e+01
   5.68186     7.31588e+01     1.24089e+03     7.07655e+01     1.26064e+01
   5.70641     7.31719e+01     1.24029e+03     7.08813e+01     1.49548e+01
   5.73095     7.26165e+01     1.22727e+03     6.95351e+01     6.37398e+00
   5.75550     7.24672e+01     1.22373e+03     6.96202e+01     9.85611e+00
   5.78004     7.23567e+01     1.22549e+03     7.04620e+01     1.34547e+01
   5.80458     7.22373e+01     1.22269e+03     7.03063e+01     1.09458e+01
   5.82913     7.20089e+01     1.22079e+03     7.03925e+01     1.65575e+01
   5.85367     7.16562e+01     1.21657e+03     6.87660e+01     3.75914e+00
   5.87821     7.16153e+01     1.21210e+03     6.89219e+01     7.01471e+00
   5.90276     7.12569e+01     1.20749e+03     6.89654e+01     1.06238e+01
   5.92730     7.08516e+01     1.20046e+03     6.77594e+01     9.28503e+00
   5.95185     7.08583e+01     1.20500e+03     6.84924e+01     1.41518e+01
   5.97639     7.05608e+01     1.19739e+03     6.86694e+01     1.46064e+01
   6.00093     7.05404e+01     1.19102e+03     6.78736e+01     1.23844e+01
   6.02548     7.00190e+01     1.17991e+03     6.75026e+01     8.83244e+00
   6.05002     6.99753e+01     1.16863e+03     6.69222e+01     5.81935e+00
   6.07456     6.97333e+01     1.17123e+03     6.69070e+01     8.44866e+00
   6.09911     6.94700e+01     1.17651e+03     6.74030e+01     1.02450e+01
   6.12365     6.92166e+01     1.17476e+03     6.69290e+01     1.04590e+01
   6.14819     6.91629e+01     1.16965e+03     6.68677e+01     1.27908e+01
   6.17274     6.89480e+01     1.16219e+03     6.60194e+01     1.04098e+01
