# ix, iy, iz, dm, h1fid, h1new, lum, uv
1 4 3 1.36288e+06 7.99836e+10 7.97483e+10 2.12321e+11 1.73955e+12
1 4 4 1.42912e+06 9.17867e+10 9.14176e+10 3.29466e+11 1.74401e+12
1 4 5 1.24579e+06 6.22212e+10 6.21321e+10 1.82618e+11 1.73428e+12
1 4 6 1.50564e+06 1.05218e+11 1.04470e+11 4.75806e+11 1.75408e+12
1 4 7 1.32921e+06 7.34431e+10 7.30525e+10 2.09587e+11 1.74748e+12
1 5 0 1.49149e+06 1.01008e+11 1.00387e+11 3.41428e+11 1.74897e+12
1 5 1 1.62146e+06 1.22112e+11 1.20580e+11 4.59425e+11 1.77599e+12
1 5 2 1.44727e+06 9.42331e+10 9.26145e+10 7.89020e+11 1.80124e+12
1 5 3 1.36214e+06 7.97189e+10 7.88092e+10 5.26996e+11 1.75997e+12
1 5 4 1.13150e+06 4.80910e+10 4.80009e+10 2.30355e+11 1.73025e+12
1 5 5 1.40481e+06 8.58242e+10 8.55021e+10 2.50847e+11 1.73838e+12
1 5 6 1.18358e+06 5.56407e+10 5.55675e+10 1.09042e+11 1.73699e+12
1 5 7 1.22936e+06 6.10617e+10 6.07173e+10 2.37729e+11 1.74306e+12
1 6 0 1.30110e+06 7.04835e+10 7.02546e+10 2.95558e+11 1.73264e+12
1 6 1 1.57785e+06 1.16320e+11 1.13195e+11 1.30222e+12 1.82046e+12
1 6 2 1.33721e+06 7.50075e+10 7.42806e+10 3.24828e+11 1.76668e+12
1 6 3 1.42482e+06 8.80467e+10 8.76397e+10 2.52215e+11 1.74284e+12
1 6 4 1.20830e+06 5.71631e+10 5.69995e+10 2.27175e+11 1.74420e+12
1 6 5 1.24907e+06 6.25504e+10 6.15885e+10 4.21371e+11 1.77652e+12
1 6 6 1.35244e+06 7.82588e+10 7.59615e+10 3.37872e+11 1.83766e+12
1 6 7 1.23983e+06 6.20751e+10 6.19258e+10 1.80238e+11 1.73641e+12
1 7 0 1.04400e+06 3.77120e+10 3.77010e+10 1.82410e+11 1.71869e+12
1 7 1 1.15476e+06 4.97513e+10 4.97778e+10 1.15110e+11 1.72717e+12
1 7 2 1.59973e+06 1.20590e+11 1.17487e+11 9.77646e+11 1.78899e+12
1 7 3 1.66563e+06 1.28303e+11 1.27056e+11 3.28735e+11 1.77060e+12
1 7 4 1.47959e+06 9.87895e+10 9.61783e+10 4.34780e+11 1.86542e+12
1 7 5 1.51632e+06 1.06107e+11 1.00643e+11 3.74735e+11 1.95730e+12
1 7 6 1.32076e+06 7.41110e+10 7.33459e+10 2.19124e+11 1.77937e+12
1 7 7 1.16279e+06 5.39655e+10 5.36929e+10 3.20382e+11 1.74217e+12
2 0 0 1.31785e+06 7.39115e+10 7.39400e+10 2.27663e+11 1.71792e+12
2 0 1 1.29344e+06 6.95054e+10 6.95663e+10 1.87187e+11 1.72537e+12
2 0 2 1.41559e+06 8.85212e+10 8.75121e+10 4.82019e+11 1.76053e+12
2 0 3 1.48276e+06 9.87217e+10 9.79047e+10 2.99615e+11 1.75879e+12
2 0 4 1.33824e+06 7.85793e+10 7.80890e+10 2.56430e+11 1.74664e+12
2 0 5 1.19053e+06 5.60048e+10 5.58376e+10 1.75738e+11 1.73679e+12
2 0 6 1.25462e+06 6.33312e+10 6.32482e+10 2.29342e+11 1.72148e+12
2 0 7 1.22281e+06 6.26190e+10 6.27147e+10 2.23537e+11 1.71496e+12
2 1 0 1.34241e+06 7.66630e+10 7.65175e+10 2.93511e+11 1.73028e+12
2 1 1 1.46926e+06 9.53830e+10 9.43388e+10 6.43910e+11 1.76271e+12
2 1 2 1.57985e+06 1.16098e+11 1.13812e+11 1.05391e+12 1.80534e+12
2 1 3 1.52505e+06 1.06204e+11 1.04616e+11 5.80573e+11 1.78184e+12
2 1 4 9.92634e+05 3.44231e+10 3.43667e+10 1.08764e+11 1.72244e+12
2 1 5 1.30160e+06 7.20779e+10 7.15064e+10 4.62244e+11 1.74355e+12
2 1 6 1.18862e+06 5.41725e+10 5.42390e+10 2.43901e+11 1.71811e+12
2 1 7 1.17335e+06 5.45174e+10 5.45662e+10 1.11360e+11 1.71849e+12
2 2 0 1.28253e+06 6.76130e+10 6.73161e+10 2.68606e+11 1.74189e+12
2 2 1 1.29591e+06 7.09378e+10 7.02048e+10 5.10276e+11 1.76718e+12
2 2 2 1.36017e+06 7.97151e+10 7.89801e+10 3.15014e+11 1.76697e+12
2 2 3 1.27432e+06 6.53429e+10 6.46835e+10 5.72985e+11 1.75648e+12
2 2 4 1.12552e+06 4.74334e+10 4.72938e+10 1.89312e+11 1.72565e+12
2 2 5 1.28835e+06 6.79593e+10 6.74957e+10 3.80644e+11 1.74401e+12
2 2 6 1.35799e+06 7.99579e+10 7.95858e+10 1.69029e+11 1.74500e+12
2 2 7 1.46826e+06 9.90788e+10 9.84570e+10 3.30878e+11 1.74177e+12
2 3 0 1.47616e+06 9.83822e+10 9.73055e+10 3.72162e+11 1.76689e+12
2 3 1 1.43685e+06 8.94810e+10 8.80282e+10 8.79589e+11 1.79530e+12
2 3 2 1.21325e+06 5.77711e+10 5.77648e+10 1.62739e+11 1.72587e+12
2 3 3 1.23654e+06 6.30570e+10 6.29113e+10 2.34479e+11 1.72870e+12
2 3 4 1.38975e+06 8.82157e+10 8.77930e+10 1.94241e+11 1.74867e+12
2 3 5 1.38829e+06 8.54888e+10 8.37217e+10 6.60264e+11 1.79833e+12
2 3 6 1.40211e+06 8.69566e+10 8.40073e+10 2.68433e+12 1.94045e+12
2 3 7 1.40826e+06 8.56344e+10 8.42679e+10 8.25982e+11 1.77078e+12
2 4 0 1.48119e+06 9.98775e+10 9.92290e+10 3.05827e+11 1.74460e+12
2 4 1 1.55982e+06 1.13065e+11 1.11882e+11 6.94147e+11 1.76181e+12
2 4 2 1.39656e+06 8.55882e+10 8.55146e+10 2.59195e+11 1.72980e+12
2 4 3 1.20282e+06 5.88709e+10 5.87006e+10 1.91039e+11 1.73402e+12
2 4 4 1.12909e+06 4.99480e+10 4.92700e+10 7.48433e+11 1.75357e+12
2 4 5 1.51003e+06 1.02253e+11 1.01361e+11 3.55693e+11 1.76160e+12
2 4 6 1.33057e+06 7.60553e+10 7.57088e+10 2.58004e+11 1.74799e+12
2 4 7 1.45311e+06 9.40170e+10 9.36076e+10 2.99878e+11 1.73873e+12
2 5 0 1.49775e+06 1.01328e+11 1.01262e+11 2.41205e+11 1.72862e+12
2 5 1 1.35287e+06 7.87598e+10 7.80839e+10 4.61129e+11 1.74428e+12
2 5 2 1.30396e+06 7.37804e+10 7.22840e+10 8.05280e+11 1.77572e+12
2 5 3 1.28377e+06 6.88347e+10 6.86092e+10 2.42032e+11 1.73626e+12
2 5 4 1.40868e+06 8.92783e+10 8.80692e+10 6.11494e+11 1.76697e+12
2 5 5 1.60655e+06 1.17998e+11 1.15198e+11 8.79098e+11 1.81440e+12
2 5 6 1.27597e+06 6.61483e+10 6.59762e+10 1.62663e+11 1.73670e+12
2 5 7 1.29501e+06 6.92581e+10 6.91469e+10 2.52678e+11 1.72050e+12
2 6 0 1.53636e+06 1.09139e+11 1.08858e+11 4.28644e+11 1.73175e+12
2 6 1 1.57276e+06 1.15491e+11 1.14874e+11 3.14716e+11 1.73752e+12
2 6 2 1.32505e+06 7.53949e+10 7.51105e+10 2.89752e+11 1.73898e+12
2 6 3 1.20687e+06 5.76329e+10 5.76153e+10 1.71687e+11 1.72685e+12
2 6 4 1.21031e+06 5.70935e+10 5.69311e+10 2.62669e+11 1.73393e+12
2 6 5 1.47302e+06 9.68469e+10 9.61007e+10 2.82411e+11 1.76056e+12
2 6 6 1.51518e+06 1.06085e+11 1.04377e+11 9.29296e+11 1.78394e+12
2 6 7 1.33382e+06 7.31182e+10 7.32823e+10 1.56552e+11 1.71621e+12
2 7 0 1.17698e+06 5.30461e+10 5.31885e+10 1.54075e+11 1.71273e+12
2 7 1 1.26463e+06 6.64419e+10 6.65195e+10 2.42709e+11 1.71864e+12
2 7 2 1.51876e+06 1.01740e+11 1.01512e+11 2.81729e+11 1.73535e+12
2 7 3 1.68153e+06 1.30043e+11 1.29339e+11 4.25142e+11 1.75064e+12
2 7 4 1.19483e+06 5.99389e+10 5.95995e+10 1.89492e+11 1.74121e+12
2 7 5 1.06923e+06 3.99242e+10 3.98624e+10 1.04846e+11 1.73956e+12
2 7 6 1.22192e+06 6.08038e+10 6.03230e+10 2.33286e+11 1.74172e+12
2 7 7 1.24884e+06 6.38425e+10 6.36950e+10 2.81917e+11 1.72097e+12
3 0 0 1.48508e+06 9.89060e+10 9.86689e+10 3.78184e+11 1.73206e+12
3 0 1 1.30971e+06 7.30070e+10 7.29642e+10 2.89210e+11 1.72090e+12
3 0 2 1.24620e+06 6.62671e+10 6.63996e+10 1.19169e+11 1.71682e+12
3 0 3 1.43771e+06 9.35714e+10 9.24329e+10 7.10450e+11 1.75224e+12
3 0 4 1.31176e+06 7.43600e+10 7.41316e+10 3.74654e+11 1.72867e+12
3 0 5 1.10749e+06 4.60634e+10 4.62614e+10 1.13996e+11 1.70532e+12
3 0 6 1.38789e+06 8.27763e+10 8.26759e+10 1.88044e+11 1.72575e+12
3 0 7 1.29747e+06 7.08017e+10 7.05645e+10 2.75154e+11 1.73214e+12
3 1 0 1.51523e+06 1.02390e+11 1.02126e+11 3.22600e+11 1.73865e+12
3 1 1 1.33663e+06 7.84073e+10 7.84584e+10 1.64626e+11 1.72158e+12
3 1 2 1.28812e+06 6.74317e+10 6.74182e+10 2.08132e+11 1.72723e+12
3 1 3 1.39151e+06 8.59721e+10 8.54876e+10 4.11677e+11 1.73381e+12
3 1 4 1.22907e+06 6.26109e+10 6.27559e+10 2.03479e+11 1.71308e+12
3 1 5 1.21776e+06 5.84239e+10 5.85867e+10 1.67925e+11 1.71145e+12
3 1 6 1.19918e+06 5.66855e+10 5.64602e+10 5.80426e+11 1.73633e+12
3 1 7 1.34315e+06 7.48010e+10 7.40995e+10 6.01537e+11 1.75354e+12
3 2 0 1.23373e+06 6.35199e+10 6.29152e+10 3.48688e+11 1.74785e+12
3 2 1 1.38365e+06 8.12319e+10 8.05951e+10 2.55677e+11 1.75753e+12
3 2 2 1.35787e+06 8.43075e+10 8.41061e+10 2.93916e+11 1.73080e+12
3 2 3 1.33262e+06 7.61985e+10 7.63737e+10 1.82604e+11 1.71274e+12
3 2 4 1.12493e+06 4.47837e+10 4.50415e+10 9.82221e+10 1.70282e+12
3 2 5 1.16155e+06 5.13443e+10 5.12468e+10 2.51507e+11 1.72607e+12
3 2 6 1.14427e+06 4.99551e+10 4.99485e+10 1.46746e+11 1.72857e+12
3 2 7 1.47222e+06 9.75160e+10 9.67324e+10 3.89848e+11 1.74716e+12
3 3 0 1.17375e+06 5.35765e+10 5.32010e+10 2.69888e+11 1.75281e+12
3 3 1 1.27552e+06 6.53241e+10 6.42337e+10 1.32618e+12 1.79026e+12
3 3 2 1.11153e+06 4.68133e+10 4.70143e+10 1.42332e+11 1.70444e+12
3 3 3 1.12954e+06 4.72838e+10 4.74982e+10 1.92282e+11 1.70166e+12
3 3 4 1.28942e+06 6.97424e+10 6.98291e+10 2.46615e+11 1.71685e+12
3 3 5 1.37789e+06 8.21379e+10 8.13530e+10 4.78949e+11 1.75251e+12
3 3 6 1.41084e+06 8.79548e+10 8.73152e+10 3.62575e+11 1.75458e+12
3 3 7 1.18175e+06 5.32248e+10 5.31754e+10 1.27926e+11 1.73017e+12
3 4 0 1.33181e+06 7.70195e+10 7.70416e+10 2.27728e+11 1.72054e+12
3 4 1 1.13447e+06 4.86906e+10 4.88276e+10 1.49491e+11 1.71287e+12
3 4 2 1.19133e+06 5.54689e+10 5.57572e+10 1.46349e+11 1.69968e+12
3 4 3 1.32128e+06 7.67614e+10 7.63655e+10 4.94757e+11 1.72217e+12
3 4 4 1.38044e+06 8.03188e+10 8.03326e+10 2.32130e+11 1.72433e+12
3 4 5 1.35604e+06 7.94535e+10 7.92638e+10 3.02819e+11 1.73423e+12
3 4 6 1.20233e+06 5.71733e+10 5.71170e+10 2.21934e+11 1.72414e+12
3 4 7 1.24221e+06 6.42154e+10 6.42364e+10 2.28776e+11 1.71875e+12
3 5 0 1.41948e+06 9.22598e+10 9.22267e+10 3.01688e+11 1.71216e+12
3 5 1 1.16811e+06 5.38519e+10 5.40987e+10 1.23895e+11 1.70357e+12
3 5 2 1.34236e+06 7.52280e+10 7.55848e+10 1.88429e+11 1.70406e+12
3 5 3 1.27523e+06 6.83450e+10 6.85627e+10 1.68288e+11 1.70640e+12
