# k, P(k), Nmodes
3.350082606911083172e+00 8.708576450405779212e+00 2.346620000000000000e+05
3.374638471491168357e+00 8.559475529192742016e+00 2.370900000000000000e+05
3.399170621190092056e+00 8.482099310025864369e+00 2.414900000000000000e+05
3.423704409844894769e+00 8.382011968690054715e+00 2.436700000000000000e+05
3.448254086667305707e+00 8.249818207235044554e+00 2.489620000000000000e+05
3.472796448581847439e+00 8.142648860476750627e+00 2.509540000000000000e+05
3.497303225853108266e+00 8.041827877393279422e+00 2.546820000000000000e+05
3.521859985192977938e+00 7.926417840488244160e+00 2.597660000000000000e+05
3.546424286340617904e+00 7.866091963926974628e+00 2.614900000000000000e+05
3.570998981027290409e+00 7.727361593011840668e+00 2.677620000000000000e+05
3.595600871653301223e+00 7.640134390274343268e+00 2.692540000000000000e+05
3.620133714506168499e+00 7.538447293138415439e+00 2.734020000000000000e+05
3.644665090967286414e+00 7.451786875013265643e+00 2.769780000000000000e+05
3.669256741163455349e+00 7.332171630505166071e+00 2.819300000000000000e+05
3.693754493622263713e+00 7.263865848964351279e+00 2.827260000000000000e+05
3.718234765907703743e+00 7.155142241779197221e+00 2.886340000000000000e+05
3.742746452707597093e+00 7.110977518802736874e+00 2.911940000000000000e+05
3.767336798239477424e+00 6.991646520656477293e+00 2.983160000000000000e+05
3.791942667298908720e+00 6.891479526294515878e+00 2.991160000000000000e+05
3.816441815281845340e+00 6.840105496072530045e+00 3.037460000000000000e+05
3.840963437352050036e+00 6.729872239500318543e+00 3.071300000000000000e+05
3.865469441448510679e+00 6.647429693245773485e+00 3.114540000000000000e+05
3.890043745248791485e+00 6.561218652539690943e+00 3.167940000000000000e+05
3.914615689522903175e+00 6.478313549342338717e+00 3.191300000000000000e+05
3.939097121164933490e+00 6.404503646637187408e+00 3.227560000000000000e+05
3.963665290400354202e+00 6.326800268408957706e+00 3.289800000000000000e+05
3.988256645205220607e+00 6.241300396996352973e+00 3.321680000000000000e+05
4.012797453054211871e+00 6.194654003734066272e+00 3.354620000000000000e+05
4.037351537842088334e+00 6.106567446909120456e+00 3.405560000000000000e+05
4.061914585401027900e+00 6.005481761451371803e+00 3.444740000000000000e+05
4.086437815517499850e+00 5.918049466807227432e+00 3.471860000000000000e+05
4.110951046617015159e+00 5.911962072972635873e+00 3.532380000000000000e+05
4.135472734262805261e+00 5.840190040592395881e+00 3.551620000000000000e+05
4.160026531205497591e+00 5.751821777015204695e+00 3.627840000000000000e+05
4.184627233559072401e+00 5.683794771821781389e+00 3.655020000000000000e+05
4.209183402302661747e+00 5.609554067543646383e+00 3.694900000000000000e+05
4.233703910607026444e+00 5.506539619005215158e+00 3.736360000000000000e+05
4.258250420165045291e+00 5.469923044248448996e+00 3.781540000000000000e+05
4.282795097965550468e+00 5.429377176199285060e+00 3.831980000000000000e+05
4.307362905596606950e+00 5.337959766172048148e+00 3.872260000000000000e+05
4.331889236955777100e+00 5.265264586372454758e+00 3.904320000000000000e+05
4.356351782716353149e+00 5.201347776949195811e+00 3.945740000000000000e+05
4.380869968189077035e+00 5.147857269497016830e+00 4.005240000000000000e+05
4.405442015258435262e+00 5.070456081181044183e+00 4.060180000000000000e+05
4.430038154713768606e+00 5.031937217185252109e+00 4.097500000000000000e+05
4.454549098485687253e+00 4.967432646314041023e+00 4.124740000000000000e+05
4.479064117175447279e+00 4.906941820165783064e+00 4.191220000000000000e+05
4.503684799355169410e+00 4.846081915735728884e+00 4.249840000000000000e+05
4.528242374938078463e+00 4.773776430964463913e+00 4.265520000000000000e+05
4.552775342002050252e+00 4.735180946944304914e+00 4.331060000000000000e+05
4.577325162575355044e+00 4.696479443872775938e+00 4.364900000000000000e+05
4.601909666628191786e+00 4.636736414437723219e+00 4.441020000000000000e+05
4.626452257502047694e+00 4.568918099393238563e+00 4.438580000000000000e+05
4.650940074150386572e+00 4.510022384821830599e+00 4.520580000000000000e+05
4.675452428806773142e+00 4.460284631164797453e+00 4.539040000000000000e+05
4.700012478571549579e+00 4.431710176564526371e+00 4.635820000000000000e+05
4.724564252754682947e+00 4.334914644106160786e+00 4.632040000000000000e+05
4.749083637952227654e+00 4.292519607790712399e+00 4.718580000000000000e+05
4.773640954484383414e+00 4.252381821548409491e+00 4.748060000000000000e+05
4.798218062373196702e+00 4.224762058584719426e+00 4.816500000000000000e+05
4.822796979808900097e+00 4.151414060782637527e+00 4.857140000000000000e+05
4.847294457657936206e+00 4.120010890747644261e+00 4.876640000000000000e+05
4.871792762736153470e+00 4.056831772156130000e+00 4.956720000000000000e+05
4.896353863643452264e+00 4.005023405956872118e+00 5.003700000000000000e+05
4.920905835235039660e+00 3.976480765996274425e+00 5.050500000000000000e+05
4.945446202376126088e+00 3.916757267813908427e+00 5.106220000000000000e+05
4.969987170607944371e+00 3.874707559145909919e+00 5.141780000000000000e+05
4.994549881773915345e+00 3.835258693942652286e+00 5.225060000000000000e+05
5.019089867533919502e+00 3.783999018794214297e+00 5.232700000000000000e+05
5.043657965768904461e+00 3.739766305508311017e+00 5.339440000000000000e+05
5.068231648991710081e+00 3.709329613983108676e+00 5.340280000000000000e+05
5.092745460766996857e+00 3.660087769435200755e+00 5.411300000000000000e+05
5.117271972670701885e+00 3.618694260460269430e+00 5.458780000000000000e+05
5.141819468888066069e+00 3.559489260922349185e+00 5.518420000000000000e+05
5.166361760711475348e+00 3.528639663215790812e+00 5.564660000000000000e+05
5.190889147532012693e+00 3.485274862183962874e+00 5.615640000000000000e+05
5.215413797921450545e+00 3.443194249863255063e+00 5.671560000000000000e+05
5.240003176458370326e+00 3.410586575955066202e+00 5.754260000000000000e+05
5.264574876720439001e+00 3.359860858835471475e+00 5.765060000000000000e+05
5.289071055375218045e+00 3.344331132027592801e+00 5.830460000000000000e+05
5.313607607293103108e+00 3.301314696946079597e+00 5.894500000000000000e+05
5.338150456576858716e+00 3.261338058711717558e+00 5.935600000000000000e+05
5.362714209695266909e+00 3.228783051868609810e+00 6.020300000000000000e+05
5.387260596384244593e+00 3.201640787755022366e+00 6.033000000000000000e+05
5.411760803823801425e+00 3.162867857702620356e+00 6.110420000000000000e+05
5.436329641198601514e+00 3.128500457412552560e+00 6.176620000000000000e+05
5.460880694997348073e+00 3.094627490238836209e+00 6.211540000000000000e+05
5.485422509986556783e+00 3.048174251134463386e+00 6.289540000000000000e+05
