#        k    p_h_pos  p_h1_mass   p_hp_h1m   p_hp_h1m
   0.71484     2.32693e+02     3.90612e+03     2.55571e+02     2.23805e+02
   0.72097     2.33302e+02     3.90287e+03     2.50256e+02     2.26167e+02
   0.72711     2.26936e+02     3.85063e+03     2.48890e+02     2.29881e+02
   0.73324     2.25616e+02     3.79121e+03     2.45331e+02     2.40170e+02
   0.73938     2.21871e+02     3.73478e+03     2.43679e+02     2.31409e+02
   0.74551     2.22225e+02     3.69524e+03     2.40661e+02     2.09819e+02
   0.75165     2.19165e+02     3.63655e+03     2.42037e+02     2.14419e+02
   0.75779     2.17378e+02     3.56354e+03     2.34484e+02     1.99764e+02
   0.76392     2.13673e+02     3.54237e+03     2.32739e+02     1.98025e+02
   0.77006     2.12126e+02     3.52494e+03     2.30881e+02     2.07223e+02
   0.77619     2.10750e+02     3.49089e+03     2.29595e+02     2.01730e+02
   0.78233     2.06035e+02     3.45101e+03     2.25344e+02     1.80940e+02
   0.78847     2.05121e+02     3.42703e+03     2.24618e+02     2.04048e+02
   0.79460     2.02890e+02     3.38803e+03     2.23796e+02     1.99147e+02
   0.80074     2.02219e+02     3.37506e+03     2.18669e+02     1.93096e+02
   0.80687     2.01505e+02     3.34839e+03     2.22996e+02     1.99942e+02
   0.81301     1.99211e+02     3.28786e+03     2.20480e+02     1.88071e+02
   0.81915     1.99040e+02     3.23377e+03     2.17308e+02     1.78890e+02
   0.82528     1.96968e+02     3.18697e+03     2.14723e+02     1.80817e+02
   0.83142     1.95430e+02     3.14631e+03     2.08377e+02     1.78614e+02
   0.83755     1.92966e+02     3.12206e+03     2.08061e+02     1.71368e+02
   0.84369     1.91855e+02     3.09145e+03     2.06592e+02     1.63263e+02
   0.84983     1.90580e+02     3.07109e+03     2.08719e+02     1.76163e+02
   0.85596     1.90452e+02     3.05083e+03     2.04585e+02     1.71627e+02
   0.86210     1.86548e+02     3.05090e+03     2.03638e+02     1.51958e+02
   0.86823     1.84355e+02     3.03012e+03     2.00215e+02     1.57636e+02
   0.87437     1.83190e+02     2.99685e+03     1.99069e+02     1.53358e+02
   0.88050     1.81582e+02     3.01613e+03     1.98451e+02     1.71763e+02
   0.88664     1.80876e+02     2.98442e+03     1.99564e+02     1.52557e+02
   0.89278     1.78517e+02     2.95549e+03     1.95878e+02     1.59333e+02
   0.89891     1.77040e+02     2.93951e+03     1.97323e+02     1.64712e+02
   0.90505     1.76225e+02     2.91670e+03     1.93226e+02     1.58474e+02
   0.91118     1.76331e+02     2.91412e+03     1.95916e+02     1.58299e+02
