# ix, iy, iz, dm, h1fid, h1new, lum, uv
0 4 3 2.14862e+06 1.74269e+12 1.74241e+12 2.92135e+12 3.01854e+14
0 4 4 2.10156e+06 1.60421e+12 1.60401e+12 2.98400e+12 3.01117e+14
0 4 5 2.11040e+06 1.63667e+12 1.63649e+12 2.92975e+12 3.01070e+14
0 4 6 2.07076e+06 1.51789e+12 1.51785e+12 2.19251e+12 3.00506e+14
0 4 7 2.09253e+06 1.58004e+12 1.57997e+12 2.54943e+12 3.00599e+14
0 5 0 2.08005e+06 1.55851e+12 1.55831e+12 3.10900e+12 3.01010e+14
0 5 1 2.10096e+06 1.61127e+12 1.61120e+12 2.25353e+12 3.00615e+14
0 5 2 2.15260e+06 1.76913e+12 1.76887e+12 3.59151e+12 3.01467e+14
0 5 3 2.13995e+06 1.72962e+12 1.72941e+12 3.37183e+12 3.01258e+14
0 5 4 2.09557e+06 1.60270e+12 1.60253e+12 3.07925e+12 3.01132e+14
0 5 5 2.12154e+06 1.68591e+12 1.68575e+12 3.15667e+12 3.00973e+14
0 5 6 2.02679e+06 1.39543e+12 1.39536e+12 2.34744e+12 3.00518e+14
0 5 7 2.08099e+06 1.56276e+12 1.56265e+12 2.51869e+12 3.00657e+14
0 6 0 2.09544e+06 1.61371e+12 1.61355e+12 2.87348e+12 3.01022e+14
0 6 1 2.11474e+06 1.62224e+12 1.62212e+12 2.98111e+12 3.00883e+14
0 6 2 2.13748e+06 1.70253e+12 1.70227e+12 3.36884e+12 3.01706e+14
0 6 3 2.09562e+06 1.60253e+12 1.60233e+12 3.05291e+12 3.01185e+14
0 6 4 2.10657e+06 1.61018e+12 1.61006e+12 2.83353e+12 3.00949e+14
0 6 5 2.08445e+06 1.55303e+12 1.55293e+12 2.40120e+12 3.00668e+14
0 6 6 2.07374e+06 1.54544e+12 1.54538e+12 2.30958e+12 3.00552e+14
0 6 7 2.08895e+06 1.56723e+12 1.56710e+12 2.80731e+12 3.00932e+14
0 7 0 2.18039e+06 1.84523e+12 1.84494e+12 3.85307e+12 3.01624e+14
0 7 1 2.08806e+06 1.55006e+12 1.54998e+12 2.62460e+12 3.00795e+14
0 7 2 2.15414e+06 1.73559e+12 1.73536e+12 3.41845e+12 3.01614e+14
0 7 3 2.09495e+06 1.57586e+12 1.57564e+12 3.09205e+12 3.01389e+14
0 7 4 2.12827e+06 1.68714e+12 1.68692e+12 3.27306e+12 3.01233e+14
0 7 5 2.12118e+06 1.67863e+12 1.67852e+12 2.33733e+12 3.00876e+14
0 7 6 2.13566e+06 1.70985e+12 1.70968e+12 3.22525e+12 3.01052e+14
0 7 7 2.08936e+06 1.56209e+12 1.56185e+12 3.58659e+12 3.01529e+14
1 0 0 2.05940e+06 1.48889e+12 1.48880e+12 2.47479e+12 3.00754e+14
1 0 1 2.18265e+06 1.84608e+12 1.84587e+12 3.42111e+12 3.01315e+14
1 0 2 2.11320e+06 1.64926e+12 1.64912e+12 2.38734e+12 3.00909e+14
1 0 3 2.14834e+06 1.73765e+12 1.73748e+12 3.00036e+12 3.01228e+14
1 0 4 2.12004e+06 1.66759e+12 1.66749e+12 2.50696e+12 3.00792e+14
1 0 5 2.07653e+06 1.53940e+12 1.53927e+12 2.63783e+12 3.00966e+14
1 0 6 2.02327e+06 1.39769e+12 1.39763e+12 2.29598e+12 3.00486e+14
1 0 7 2.07560e+06 1.53636e+12 1.53630e+12 2.35689e+12 3.00600e+14
