# ix, iy, iz, dm, h1fid, h1new, lum, uv
1 3 6 2.06645e+06 6.14340e+12 6.14114e+12 3.28676e+13 3.43258e+13
1 3 7 2.08609e+06 6.27981e+12 6.27671e+12 3.35629e+13 3.44575e+13
1 4 0 2.09351e+06 6.30859e+12 6.30110e+12 3.62637e+13 3.56139e+13
1 4 1 2.08110e+06 6.25443e+12 6.24702e+12 3.66800e+13 3.56853e+13
1 4 2 2.08547e+06 6.25901e+12 6.25210e+12 3.69408e+13 3.56055e+13
1 4 3 2.13459e+06 6.63022e+12 6.62562e+12 3.36323e+13 3.48778e+13
1 4 4 2.16121e+06 6.82625e+12 6.81780e+12 3.90037e+13 3.54631e+13
1 4 5 2.05613e+06 6.04420e+12 6.03852e+12 3.62962e+13 3.51331e+13
1 4 6 2.18284e+06 6.96722e+12 6.96045e+12 3.68054e+13 3.51514e+13
1 4 7 2.08132e+06 6.20778e+12 6.20502e+12 3.25047e+13 3.44640e+13
1 5 0 2.17605e+06 6.91661e+12 6.90787e+12 3.97284e+13 3.56628e+13
1 5 1 2.20525e+06 7.14574e+12 7.13199e+12 4.11523e+13 3.67749e+13
1 5 2 2.12766e+06 6.55856e+12 6.54957e+12 3.62667e+13 3.58683e+13
1 5 3 2.11650e+06 6.48836e+12 6.48283e+12 3.44009e+13 3.50792e+13
1 5 4 2.00299e+06 5.67494e+12 5.67439e+12 2.93249e+13 3.39009e+13
1 5 5 2.15820e+06 6.77136e+12 6.76512e+12 3.73230e+13 3.51465e+13
1 5 6 2.04453e+06 5.97736e+12 5.97680e+12 3.04169e+13 3.38507e+13
1 5 7 2.05717e+06 6.06447e+12 6.06226e+12 3.31833e+13 3.43037e+13
1 6 0 2.08537e+06 6.25578e+12 6.25094e+12 3.37453e+13 3.49530e+13
1 6 1 2.18726e+06 7.01833e+12 7.00707e+12 4.10954e+13 3.61232e+13
1 6 2 2.05441e+06 6.04024e+12 6.03542e+12 3.11839e+13 3.50488e+13
1 6 3 2.15178e+06 6.72386e+12 6.71306e+12 4.27335e+13 3.61764e+13
1 6 4 2.05503e+06 6.05389e+12 6.05185e+12 3.25743e+13 3.42622e+13
1 6 5 2.08520e+06 6.24060e+12 6.23833e+12 3.27687e+13 3.42686e+13
1 6 6 2.13318e+06 6.61126e+12 6.60576e+12 3.78361e+13 3.49127e+13
1 6 7 2.06981e+06 6.16184e+12 6.15668e+12 3.61467e+13 3.49040e+13
1 7 0 1.98213e+06 5.53642e+12 5.53478e+12 3.25372e+13 3.41635e+13
1 7 1 2.00845e+06 5.71336e+12 5.71163e+12 2.95135e+13 3.43148e+13
1 7 2 2.18507e+06 7.00660e+12 6.99764e+12 3.68778e+13 3.56489e+13
1 7 3 2.16829e+06 6.84733e+12 6.83522e+12 4.01757e+13 3.65679e+13
1 7 4 2.14910e+06 6.73004e+12 6.72163e+12 3.68393e+13 3.56879e+13
1 7 5 2.19446e+06 7.05628e+12 7.04874e+12 3.64363e+13 3.52290e+13
1 7 6 2.09778e+06 6.35922e+12 6.35143e+12 3.80594e+13 3.54981e+13
1 7 7 2.03019e+06 5.90584e+12 5.90414e+12 3.05762e+13 3.41492e+13
2 0 0 2.10223e+06 6.36971e+12 6.36365e+12 3.75285e+13 3.51457e+13
2 0 1 2.06469e+06 6.11057e+12 6.10666e+12 3.23124e+13 3.46874e+13
2 0 2 2.12446e+06 6.55113e+12 6.54465e+12 3.65353e+13 3.51983e+13
2 0 3 2.12787e+06 6.56916e+12 6.56013e+12 3.76241e+13 3.58973e+13
2 0 4 2.11316e+06 6.46590e+12 6.46173e+12 3.21202e+13 3.47687e+13
2 0 5 2.04543e+06 5.99691e+12 5.99549e+12 3.23184e+13 3.40271e+13
2 0 6 2.09943e+06 6.33556e+12 6.33278e+12 3.42632e+13 3.43425e+13
2 0 7 2.07460e+06 6.20796e+12 6.20414e+12 3.24807e+13 3.44742e+13
2 1 0 2.09731e+06 6.36137e+12 6.35607e+12 3.48870e+13 3.50129e+13
2 1 1 2.16721e+06 6.84398e+12 6.83761e+12 3.47654e+13 3.52555e+13
2 1 2 2.18424e+06 6.99948e+12 6.98934e+12 3.73943e+13 3.60495e+13
2 1 3 2.17732e+06 6.92859e+12 6.91827e+12 4.03920e+13 3.60033e+13
2 1 4 1.94720e+06 5.32896e+12 5.32879e+12 2.91881e+13 3.35906e+13
2 1 5 2.13061e+06 6.60567e+12 6.60413e+12 3.35444e+13 3.39986e+13
2 1 6 2.04876e+06 5.98685e+12 5.98509e+12 3.25344e+13 3.42191e+13
2 1 7 2.05638e+06 6.06526e+12 6.06054e+12 3.30132e+13 3.48171e+13
2 2 0 2.09375e+06 6.30527e+12 6.29816e+12 3.65258e+13 3.55169e+13
2 2 1 2.08265e+06 6.26094e+12 6.25263e+12 3.86479e+13 3.57832e+13
2 2 2 2.11230e+06 6.45674e+12 6.44745e+12 3.82016e+13 3.59665e+13
2 2 3 2.07706e+06 6.20252e+12 6.19676e+12 3.44528e+13 3.51740e+13
2 2 4 2.01869e+06 5.79628e+12 5.79356e+12 3.13089e+13 3.43333e+13
2 2 5 2.10002e+06 6.35336e+12 6.35167e+12 3.23734e+13 3.41861e+13
2 2 6 2.13534e+06 6.62675e+12 6.61966e+12 3.91648e+13 3.53614e+13
2 2 7 2.18532e+06 6.99419e+12 6.98144e+12 4.11350e+13 3.65695e+13
2 3 0 2.15686e+06 6.78352e+12 6.77386e+12 3.84351e+13 3.59870e+13
2 3 1 2.14651e+06 6.68787e+12 6.68093e+12 3.56554e+13 3.53511e+13
2 3 2 2.06586e+06 6.14258e+12 6.13875e+12 3.23931e+13 3.45548e+13
2 3 3 2.07054e+06 6.16948e+12 6.16404e+12 3.61418e+13 3.50771e+13
2 3 4 2.13925e+06 6.69817e+12 6.69122e+12 3.50063e+13 3.52954e+13
2 3 5 2.09844e+06 6.34232e+12 6.33541e+12 3.53421e+13 3.53921e+13
2 3 6 2.14455e+06 6.68663e+12 6.67764e+12 3.93800e+13 3.56979e+13
2 3 7 2.13367e+06 6.58817e+12 6.58108e+12 3.60874e+13 3.54571e+13
2 4 0 2.14219e+06 6.67495e+12 6.66696e+12 3.66477e+13 3.55628e+13
2 4 1 2.17942e+06 6.98387e+12 6.97386e+12 3.95033e+13 3.58277e+13
2 4 2 2.12972e+06 6.56436e+12 6.55907e+12 3.56643e+13 3.49912e+13
2 4 3 2.04326e+06 5.97751e+12 5.97406e+12 3.30145e+13 3.45204e+13
2 4 4 2.01227e+06 5.77950e+12 5.77726e+12 3.11719e+13 3.42768e+13
2 4 5 2.16928e+06 6.86556e+12 6.85615e+12 4.10522e+13 3.58773e+13
2 4 6 2.06870e+06 6.14600e+12 6.14139e+12 3.17169e+13 3.49843e+13
2 4 7 2.15088e+06 6.74591e+12 6.74000e+12 3.51190e+13 3.50833e+13
2 5 0 2.15195e+06 6.73947e+12 6.73448e+12 3.21175e+13 3.49592e+13
2 5 1 2.09810e+06 6.35289e+12 6.34460e+12 3.73510e+13 3.57745e+13
2 5 2 2.07236e+06 6.19977e+12 6.19338e+12 3.43560e+13 3.52348e+13
2 5 3 2.06974e+06 6.15123e+12 6.14846e+12 3.17477e+13 3.44218e+13
2 5 4 2.15482e+06 6.76949e+12 6.76630e+12 3.41694e+13 3.44567e+13
2 5 5 2.19210e+06 7.01822e+12 7.00866e+12 3.96415e+13 3.57746e+13
2 5 6 2.08086e+06 6.20689e+12 6.20290e+12 3.49633e+13 3.47814e+13
2 5 7 2.09610e+06 6.32226e+12 6.31868e+12 3.29827e+13 3.45850e+13
2 6 0 2.19017e+06 7.03313e+12 7.02560e+12 3.79486e+13 3.53268e+13
2 6 1 2.19892e+06 7.08955e+12 7.08139e+12 3.71479e+13 3.54963e+13
2 6 2 2.08616e+06 6.28552e+12 6.28008e+12 3.55285e+13 3.49929e+13
2 6 3 2.04804e+06 6.01673e+12 6.01184e+12 3.36600e+13 3.49961e+13
2 6 4 2.05724e+06 6.05414e+12 6.05378e+12 3.03852e+13 3.38552e+13
2 6 5 2.17006e+06 6.86031e+12 6.85402e+12 3.83349e+13 3.50309e+13
2 6 6 2.17574e+06 6.93282e+12 6.92546e+12 3.78062e+13 3.52337e+13
2 6 7 2.10998e+06 6.42304e+12 6.41857e+12 3.53810e+13 3.47491e+13
2 7 0 2.02873e+06 5.86927e+12 5.86788e+12 2.97738e+13 3.40331e+13
2 7 1 2.06900e+06 6.16603e+12 6.16093e+12 3.66082e+13 3.49322e+13
2 7 2 2.17179e+06 6.87073e+12 6.86348e+12 3.81234e+13 3.54271e+13
2 7 3 2.20447e+06 7.10131e+12 7.09115e+12 3.59340e+13 3.61499e+13
2 7 4 2.03493e+06 5.94092e+12 5.93610e+12 3.34126e+13 3.48553e+13
2 7 5 1.97280e+06 5.46045e+12 5.46095e+12 2.89097e+13 3.36357e+13
2 7 6 2.06847e+06 6.15411e+12 6.15186e+12 3.31962e+13 3.42442e+13
2 7 7 2.08193e+06 6.25258e+12 6.25028e+12 3.39850e+13 3.42634e+13
3 0 0 2.16283e+06 6.81767e+12 6.81002e+12 3.57456e+13 3.54021e+13
3 0 1 2.07430e+06 6.20402e+12 6.20021e+12 3.21694e+13 3.46966e+13
3 0 2 2.04478e+06 6.02917e+12 6.02503e+12 3.37743e+13 3.46842e+13
3 0 3 2.13462e+06 6.62153e+12 6.61376e+12 3.52194e+13 3.56244e+13
3 0 4 2.10565e+06 6.43166e+12 6.42485e+12 3.86381e+13 3.51409e+13
3 0 5 2.01811e+06 5.80263e+12 5.80234e+12 3.05706e+13 3.37162e+13
