# k, P(k), Nmodes
1.993257601852206906e-01 4.511424602393457235e+02 1.317000000000000000e+04
2.054762598507901550e-01 4.255209869474923607e+02 1.418600000000000000e+04
2.116257382464896697e-01 4.021400706209514055e+02 1.495800000000000000e+04
2.177578654451892970e-01 3.773238370892057105e+02 1.580200000000000000e+04
2.238991135097555263e-01 3.512409551751312620e+02 1.674600000000000000e+04
2.300081978121491233e-01 3.375995150671229794e+02 1.753400000000000000e+04
2.361454707693454169e-01 3.227104390773707223e+02 1.869000000000000000e+04
2.422857100963227428e-01 3.078197057738020703e+02 1.958600000000000000e+04
2.484099584913142256e-01 3.006488492395001799e+02 2.052400000000000000e+04
2.545441957051269855e-01 2.896429736956720262e+02 2.165200000000000000e+04
2.606917133414053955e-01 2.781982831667278901e+02 2.276000000000000000e+04
2.668580198415695381e-01 2.656807155834984542e+02 2.389200000000000000e+04
2.730019564931540632e-01 2.553094997041517047e+02 2.485400000000000000e+04
2.791389873202678173e-01 2.435155535364560251e+02 2.604000000000000000e+04
2.852424996643880273e-01 2.339233460112403691e+02 2.680400000000000000e+04
2.913531997893986092e-01 2.222621873753445811e+02 2.850000000000000000e+04
2.975143171497069416e-01 2.134272988193125400e+02 2.956400000000000000e+04
3.036544665973567314e-01 2.063257377739937226e+02 3.083400000000000000e+04
3.097883787544665757e-01 1.997833667734294636e+02 3.189000000000000000e+04
3.159486680635095190e-01 1.932783882647717633e+02 3.376600000000000000e+04
3.221066234444813769e-01 1.878290011344284380e+02 3.446400000000000000e+04
3.282572612915165555e-01 1.804182774329729853e+02 3.622000000000000000e+04
3.343544383171894174e-01 1.749045323097877542e+02 3.667000000000000000e+04
3.404813620364756654e-01 1.681777593554690782e+02 3.911400000000000000e+04
3.466259536752008263e-01 1.627488742104952166e+02 3.989800000000000000e+04
3.527314914776840671e-01 1.561991409044437944e+02 4.126400000000000000e+04
3.588700951741782830e-01 1.516767796947833347e+02 4.332000000000000000e+04
3.650083489029407047e-01 1.470107957193750110e+02 4.418400000000000000e+04
3.711704037116136945e-01 1.438547375898942278e+02 4.654800000000000000e+04
3.773137312255384068e-01 1.391626409285414070e+02 4.719800000000000000e+04
3.834202365329835160e-01 1.333696904363204681e+02 4.880200000000000000e+04
3.895813105051545988e-01 1.303593044222725439e+02 5.141800000000000000e+04
3.957247046642990429e-01 1.276745804946457810e+02 5.158800000000000000e+04
