# k[h/Mpc]   Q1   Q2    Q3    Q5    Q8     Qs2    
# 
2.2708e-04 9.8416e-06 -2.3786e-06 3.7369e-06 3.7315e-06 4.2443e-02 8.4856e-02
2.2918e-04 1.0208e-05 -2.4664e-06 3.8765e-06 3.8708e-06 4.3232e-02 8.6434e-02
2.3130e-04 1.0588e-05 -2.5575e-06 4.0212e-06 4.0152e-06 4.4036e-02 8.8041e-02
2.3344e-04 1.0982e-05 -2.6519e-06 4.1714e-06 4.1651e-06 4.4855e-02 8.9678e-02
2.3561e-04 1.1391e-05 -2.7497e-06 4.3271e-06 4.3205e-06 4.5690e-02 9.1345e-02
2.3779e-04 1.1815e-05 -2.8512e-06 4.4887e-06 4.4818e-06 4.6539e-02 9.3043e-02
2.3999e-04 1.2255e-05 -2.9564e-06 4.6563e-06 4.6490e-06 4.7405e-02 9.4773e-02
2.4221e-04 1.2711e-05 -3.0654e-06 4.8301e-06 4.8225e-06 4.8287e-02 9.6535e-02
2.4445e-04 1.3183e-05 -3.1785e-06 5.0104e-06 5.0024e-06 4.9185e-02 9.8330e-02
2.4672e-04 1.3674e-05 -3.2957e-06 5.1975e-06 5.1891e-06 5.0100e-02 1.0016e-01
2.4900e-04 1.4183e-05 -3.4172e-06 5.3915e-06 5.3827e-06 5.1031e-02 1.0202e-01
2.5130e-04 1.4710e-05 -3.5432e-06 5.5927e-06 5.5835e-06 5.1981e-02 1.0392e-01
2.5363e-04 1.5257e-05 -3.6738e-06 5.8015e-06 5.7918e-06 5.2947e-02 1.0585e-01
2.5598e-04 1.5825e-05 -3.8091e-06 6.0180e-06 6.0079e-06 5.3932e-02 1.0782e-01
2.5835e-04 1.6413e-05 -3.9495e-06 6.2426e-06 6.2319e-06 5.4935e-02 1.0982e-01
2.6074e-04 1.7024e-05 -4.0950e-06 6.4756e-06 6.4644e-06 5.5957e-02 1.1186e-01
2.6315e-04 1.7657e-05 -4.2458e-06 6.7172e-06 6.7055e-06 5.6998e-02 1.1394e-01
2.6559e-04 1.8313e-05 -4.4022e-06 6.9679e-06 6.9556e-06 5.8058e-02 1.1606e-01
2.6805e-04 1.8994e-05 -4.5642e-06 7.2279e-06 7.2150e-06 5.9138e-02 1.1822e-01
2.7053e-04 1.9700e-05 -4.7323e-06 7.4975e-06 7.4840e-06 6.0237e-02 1.2042e-01
2.7303e-04 2.0433e-05 -4.9064e-06 7.7773e-06 7.7631e-06 6.1358e-02 1.2265e-01
2.7556e-04 2.1192e-05 -5.0870e-06 8.0674e-06 8.0525e-06 6.2499e-02 1.2493e-01
