# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
5.8547e-01 1.4981e+01 8.1556e-01 6.6633e-01 3.4930e+01 1.8783e+01 3.0593e+00 1.9370e+00 4.3425e+00 -7.4708e-01 -3.8263e-01 7.9397e-01 9.3035e-01 0.0000e+00 0.0000e+00
6.8939e-01 1.0686e+01 6.6955e-01 5.8369e-01 2.5587e+01 1.3921e+01 2.6631e+00 1.6030e+00 3.7465e+00 -6.2445e-01 -3.1776e-01 5.9338e-01 7.4855e-01 0.0000e+00 0.0000e+00
8.1176e-01 7.6017e+00 5.4438e-01 5.0309e-01 1.8738e+01 1.0323e+01 2.2853e+00 1.3129e+00 3.1876e+00 -5.1594e-01 -2.6036e-01 4.4057e-01 5.9809e-01 0.0000e+00 0.0000e+00
9.5585e-01 5.3970e+00 4.3868e-01 4.2753e-01 1.3727e+01 7.6630e+00 1.9362e+00 1.0650e+00 2.6784e+00 -4.2219e-01 -2.1083e-01 3.2531e-01 4.7473e-01 0.0000e+00 0.0000e+00
1.1255e+00 3.8271e+00 3.5062e-01 3.5875e-01 1.0065e+01 5.6969e+00 1.6219e+00 8.5628e-01 2.2255e+00 -3.4276e-01 -1.6900e-01 2.3909e-01 3.7450e-01 0.0000e+00 0.0000e+00
1.3253e+00 2.7121e+00 2.7806e-01 2.9749e-01 7.3891e+00 4.2426e+00 1.3449e+00 6.8292e-01 1.8307e+00 -2.7652e-01 -1.3428e-01 1.7508e-01 2.9374e-01 0.0000e+00 0.0000e+00
1.5605e+00 1.9218e+00 2.1884e-01 2.4386e-01 5.4320e+00 3.1656e+00 1.1050e+00 5.4068e-01 1.4926e+00 -2.2202e-01 -1.0589e-01 1.2784e-01 2.2919e-01 0.0000e+00 0.0000e+00
1.8375e+00 1.3622e+00 1.7088e-01 1.9759e-01 3.9986e+00 2.3664e+00 9.0035e-01 4.2526e-01 1.2072e+00 -1.7761e-01 -8.2957e-02 9.3138e-02 1.7797e-01 0.0000e+00 0.0000e+00
2.1637e+00 9.6586e-01 1.3230e-01 1.5813e-01 2.9465e+00 1.7719e+00 7.2779e-01 3.3250e-01 9.6937e-01 -1.4172e-01 -6.4621e-02 6.7751e-02 1.3759e-01 0.0000e+00 0.0000e+00
2.5478e+00 6.8509e-01 1.0143e-01 1.2481e-01 2.1722e+00 1.3282e+00 5.8377e-01 2.5859e-01 7.7320e-01 -1.1293e-01 -5.0077e-02 4.9233e-02 1.0596e-01 0.0000e+00 0.0000e+00
3.0000e+00 4.8590e-01 7.6853e-02 9.6921e-02 1.6005e+00 9.9598e-01 4.6453e-01 2.0015e-01 6.1283e-01 -8.9949e-02 -3.8616e-02 3.5751e-02 8.1301e-02 0.0000e+00 0.0000e+00
