# k[h/Mpc]   R1   R2 
# 
6.8615e-04 7.9383e-02 -1.9801e-02
6.9250e-04 8.1570e-02 -2.0345e-02
6.9891e-04 8.3816e-02 -2.0905e-02
7.0538e-04 8.6124e-02 -2.1480e-02
7.1191e-04 8.8495e-02 -2.2070e-02
7.1850e-04 9.0931e-02 -2.2677e-02
7.2515e-04 9.3434e-02 -2.3300e-02
7.3187e-04 9.6006e-02 -2.3941e-02
7.3864e-04 9.8649e-02 -2.4599e-02
7.4548e-04 1.0136e-01 -2.5275e-02
7.5238e-04 1.0415e-01 -2.5969e-02
7.5935e-04 1.0702e-01 -2.6683e-02
7.6638e-04 1.0996e-01 -2.7415e-02
7.7347e-04 1.1299e-01 -2.8168e-02
7.8063e-04 1.1609e-01 -2.8942e-02
7.8786e-04 1.1928e-01 -2.9736e-02
7.9515e-04 1.2256e-01 -3.0552e-02
8.0251e-04 1.2593e-01 -3.1390e-02
8.0994e-04 1.2939e-01 -3.2252e-02
8.1744e-04 1.3295e-01 -3.3137e-02
8.2501e-04 1.3660e-01 -3.4045e-02
8.3265e-04 1.4036e-01 -3.4979e-02
8.4035e-04 1.4421e-01 -3.5938e-02
8.4813e-04 1.4817e-01 -3.6924e-02
8.5599e-04 1.5224e-01 -3.7936e-02
8.6391e-04 1.5642e-01 -3.8976e-02
8.7191e-04 1.6072e-01 -4.0044e-02
8.7998e-04 1.6513e-01 -4.1141e-02
8.8813e-04 1.6966e-01 -4.2267e-02
8.9635e-04 1.7431e-01 -4.3425e-02
9.0465e-04 1.7910e-01 -4.4614e-02
9.1302e-04 1.8401e-01 -4.5835e-02
9.2147e-04 1.8906e-01 -4.7089e-02
9.3000e-04 1.9424e-01 -4.8378e-02
9.3861e-04 1.9957e-01 -4.9701e-02
9.4730e-04 2.0504e-01 -5.1061e-02
9.5607e-04 2.1066e-01 -5.2457e-02
9.6492e-04 2.1643e-01 -5.3891e-02
9.7385e-04 2.2236e-01 -5.5365e-02
9.8287e-04 2.2845e-01 -5.6878e-02
9.9197e-04 2.3470e-01 -5.8432e-02
1.0012e-03 2.4113e-01 -6.0028e-02
1.0104e-03 2.4773e-01 -6.1668e-02
1.0198e-03 2.5451e-01 -6.3351e-02
1.0292e-03 2.6148e-01 -6.5081e-02
1.0387e-03 2.6863e-01 -6.6857e-02
1.0484e-03 2.7598e-01 -6.8682e-02
1.0581e-03 2.8353e-01 -7.0555e-02
1.0679e-03 2.9129e-01 -7.2480e-02
1.0777e-03 2.9925e-01 -7.4455e-02
1.0877e-03 3.0742e-01 -7.6484e-02
1.0978e-03 3.1583e-01 -7.8569e-02
1.1080e-03 3.2445e-01 -8.0709e-02
1.1182e-03 3.3331e-01 -8.2907e-02
1.1286e-03 3.4242e-01 -8.5165e-02
1.1390e-03 3.5177e-01 -8.7484e-02
1.1496e-03 3.6137e-01 -8.9864e-02
1.1602e-03 3.7123e-01 -9.2310e-02
1.1709e-03 3.8136e-01 -9.4821e-02
1.1818e-03 3.9176e-01 -9.7400e-02
1.1927e-03 4.0245e-01 -1.0005e-01
1.2038e-03 4.1342e-01 -1.0277e-01
1.2149e-03 4.2469e-01 -1.0556e-01
1.2262e-03 4.3627e-01 -1.0843e-01
1.2375e-03 4.4815e-01 -1.1137e-01
1.2490e-03 4.6035e-01 -1.1439e-01
1.2605e-03 4.7289e-01 -1.1750e-01
1.2722e-03 4.8576e-01 -1.2068e-01
1.2840e-03 4.9897e-01 -1.2396e-01
1.2959e-03 5.1255e-01 -1.2732e-01
1.3079e-03 5.2649e-01 -1.3077e-01
1.3200e-03 5.4080e-01 -1.3431e-01
1.3322e-03 5.5551e-01 -1.3795e-01
1.3445e-03 5.7060e-01 -1.4168e-01
