# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
2.6256e-02 2.1642e+04 1.9804e+02 -8.2161e+01 4.3874e+04 2.2199e+04 8.6825e+01 2.0941e+03 2.8910e+02 4.1197e+00 1.5896e+01 4.8498e+03 3.0418e+03 0.0000e+00 0.0000e+00
3.0917e-02 1.9151e+04 2.2634e+02 -8.3405e+01 3.9023e+04 1.9835e+04 1.3057e+02 2.0766e+03 3.8014e+02 -1.6930e+01 6.4749e+00 4.6301e+03 2.8821e+03 0.0000e+00 0.0000e+00
3.6405e-02 1.6399e+04 2.4776e+02 -7.8320e+01 3.3652e+04 1.7215e+04 1.8556e+02 2.0534e+03 4.8774e+02 -4.3989e+01 -6.1887e+00 4.3756e+03 2.7043e+03 0.0000e+00 0.0000e+00
4.2867e-02 1.3848e+04 2.6404e+02 -6.8890e+01 2.8681e+04 1.4794e+04 2.5073e+02 2.0229e+03 6.0996e+02 -7.6703e+01 -2.2032e+01 4.0858e+03 2.5104e+03 0.0000e+00 0.0000e+00
5.0475e-02 1.1855e+04 2.8018e+02 -5.8220e+01 2.4844e+04 1.2956e+04 3.2629e+02 1.9835e+03 7.4583e+02 -1.1635e+02 -4.1933e+01 3.7613e+03 2.3051e+03 0.0000e+00 0.0000e+00
5.9435e-02 1.0406e+04 2.9753e+02 -4.6372e+01 2.2126e+04 1.1697e+04 4.1611e+02 1.9331e+03 8.9692e+02 -1.6540e+02 -6.7265e+01 3.4068e+03 2.0955e+03 0.0000e+00 0.0000e+00
6.9985e-02 9.0094e+03 3.0347e+02 -2.7047e+01 1.9510e+04 1.0497e+04 5.2354e+02 1.8699e+03 1.0621e+03 -2.2213e+02 -9.6905e+01 3.0353e+03 1.8878e+03 0.0000e+00 0.0000e+00
8.2407e-02 7.1675e+03 2.7834e+02 4.7601e+00 1.5917e+04 8.7663e+03 6.3620e+02 1.7924e+03 1.2230e+03 -2.7512e+02 -1.2430e+02 2.6657e+03 1.6843e+03 0.0000e+00 0.0000e+00
9.7035e-02 5.2855e+03 2.3089e+02 3.6203e+01 1.2131e+04 6.8870e+03 7.2292e+02 1.7003e+03 1.3454e+03 -3.1174e+02 -1.4254e+02 2.3094e+03 1.4855e+03 0.0000e+00 0.0000e+00
1.1426e-01 4.1377e+03 1.8927e+02 5.0844e+01 9.8096e+03 5.7602e+03 7.7500e+02 1.5947e+03 1.4219e+03 -3.3645e+02 -1.5425e+02 1.9665e+03 1.2969e+03 0.0000e+00 0.0000e+00
1.3454e-01 3.3463e+03 1.4285e+02 5.8782e+01 8.1966e+03 5.0003e+03 8.1692e+02 1.4772e+03 1.4758e+03 -3.5681e+02 -1.6323e+02 1.6457e+03 1.1237e+03 0.0000e+00 0.0000e+00
1.5842e-01 2.4271e+03 8.5610e+01 6.5024e+01 6.2149e+03 3.9807e+03 8.2853e+02 1.3500e+03 1.4835e+03 -3.6193e+02 -1.6344e+02 1.3609e+03 9.6415e+02 0.0000e+00 0.0000e+00
1.8654e-01 1.8399e+03 2.9932e+01 5.8712e+01 4.8813e+03 3.2984e+03 7.9920e+02 1.2167e+03 1.4373e+03 -3.5395e+02 -1.5647e+02 1.1096e+03 8.1979e+02 0.0000e+00 0.0000e+00
2.1965e-01 1.3505e+03 -2.2605e+01 4.6812e+01 3.7132e+03 2.6732e+03 7.4872e+02 1.0810e+03 1.3582e+03 -3.3828e+02 -1.4536e+02 8.9348e+02 6.9100e+02 0.0000e+00 0.0000e+00
2.5864e-01 9.8496e+02 -7.0134e+01 3.0361e+01 2.7770e+03 2.1541e+03 6.7170e+02 9.4670e+02 1.2427e+03 -3.1406e+02 -1.3007e+02 7.1089e+02 5.7690e+02 0.0000e+00 0.0000e+00
3.0455e-01 7.0215e+02 -1.0820e+02 1.1873e+01 2.0056e+03 1.7028e+03 5.7930e+02 8.1697e+02 1.1043e+03 -2.8460e+02 -1.1276e+02 5.5880e+02 4.7679e+02 0.0000e+00 0.0000e+00
3.5861e-01 4.9087e+02 -1.3559e+02 -5.8408e+00 1.3902e+03 1.3211e+03 4.7780e+02 6.9448e+02 9.5133e+02 -2.5133e+02 -9.4571e+01 4.3357e+02 3.8969e+02 0.0000e+00 0.0000e+00
4.2226e-01 3.3354e+02 -1.4976e+02 -2.0122e+01 9.0808e+02 9.9758e+02 3.7494e+02 5.8119e+02 7.9303e+02 -2.1580e+02 -7.6624e+01 3.3152e+02 3.1452e+02 0.0000e+00 0.0000e+00
4.9721e-01 2.1878e+02 -1.4990e+02 -2.8959e+01 5.4642e+02 7.2864e+02 2.7811e+02 4.7841e+02 6.3816e+02 -1.7948e+02 -5.9822e+01 2.4923e+02 2.5026e+02 0.0000e+00 0.0000e+00
5.8547e-01 1.3756e+02 -1.3710e+02 -3.1511e+01 2.9260e+02 5.1181e+02 1.9367e+02 3.8695e+02 4.9444e+02 -1.4391e+02 -4.4868e+01 1.8372e+02 1.9599e+02 0.0000e+00 0.0000e+00
6.8939e-01 8.2491e+01 -1.1478e+02 -2.8564e+01 1.3078e+02 3.4447e+02 1.2599e+02 3.0720e+02 3.6817e+02 -1.1076e+02 -3.2250e+01 1.3248e+02 1.5084e+02 0.0000e+00 0.0000e+00
8.1176e-01 4.7130e+01 -8.8166e+01 -2.2312e+01 4.0457e+01 2.2219e+02 7.6487e+01 2.3920e+02 2.6342e+02 -8.1592e+01 -2.2204e+01 9.3305e+01 1.1400e+02 0.0000e+00 0.0000e+00
9.5585e-01 2.5765e+01 -6.2538e+01 -1.5354e+01 -1.3554e+00 1.3800e+02 4.3541e+01 1.8263e+02 1.8151e+02 -5.7552e+01 -1.4674e+01 6.4177e+01 8.4599e+01 0.0000e+00 0.0000e+00
1.1255e+00 1.3600e+01 -4.1461e+01 -9.5300e+00 -1.5411e+01 8.3216e+01 2.3479e+01 1.3681e+02 1.2098e+02 -3.9014e+01 -9.3559e+00 4.3173e+01 6.1706e+01 0.0000e+00 0.0000e+00
1.3253e+00 7.0101e+00 -2.6094e+01 -5.4781e+00 -1.6570e+01 4.9173e+01 1.2148e+01 1.0065e+02 7.8452e+01 -2.5576e+01 -5.7928e+00 2.8480e+01 4.4301e+01 0.0000e+00 0.0000e+00
1.5605e+00 3.5652e+00 -1.5831e+01 -2.9905e+00 -1.3292e+01 2.8705e+01 6.1027e+00 7.2846e+01 4.9790e+01 -1.6328e+01 -3.5071e+00 1.8480e+01 3.1362e+01 0.0000e+00 0.0000e+00
1.8375e+00 1.8033e+00 -9.3759e+00 -1.5819e+00 -9.4084e+00 1.6652e+01 3.0039e+00 5.1953e+01 3.1089e+01 -1.0219e+01 -2.0889e+00 1.1831e+01 2.1931e+01 0.0000e+00 0.0000e+00
2.1637e+00 9.1198e-01 -5.4707e+00 -8.2244e-01 -6.2258e+00 9.6363e+00 1.4568e+00 3.6575e+01 1.9179e+01 -6.3026e+00 -1.2300e+00 7.4936e+00 1.5174e+01 0.0000e+00 0.0000e+00
2.5478e+00 4.6265e-01 -3.1643e+00 -4.2415e-01 -3.9580e+00 5.5750e+00 6.9776e-01 2.5458e+01 1.1728e+01 -3.8464e+00 -7.1851e-01 4.7058e+00 1.0402e+01 0.0000e+00 0.0000e+00
3.0000e+00 2.3586e-01 -1.8216e+00 -2.1823e-01 -2.4538e+00 3.2286e+00 3.3005e-01 1.7544e+01 7.1249e+00 -2.3298e+00 -4.1753e-01 2.9351e+00 7.0729e+00 0.0000e+00 0.0000e+00
