# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
7.1046e-03 1.8052e+04 1.5727e+01 -9.2641e+00 3.6118e+04 1.8180e+04 -7.6208e-01 1.9317e+03 1.9469e+01 1.3220e+01 9.4125e+00 5.0784e+03 3.3459e+03 0.0000e+00 0.0000e+00
8.3657e-03 1.9691e+04 2.3398e+01 -1.3522e+01 3.9429e+04 1.9789e+04 -2.9486e-01 1.9303e+03 2.7228e+01 1.6646e+01 1.1951e+01 5.0484e+03 3.3141e+03 0.0000e+00 0.0000e+00
9.8506e-03 2.1193e+04 3.4211e+01 -1.9304e+01 4.2470e+04 2.1272e+04 8.6720e-01 1.9284e+03 3.8093e+01 2.0274e+01 1.4792e+01 5.0082e+03 3.2732e+03 0.0000e+00 0.0000e+00
1.1599e-02 2.2448e+04 4.9006e+01 -2.6836e+01 4.5019e+04 2.2537e+04 3.2844e+00 1.9258e+03 5.3266e+01 2.3691e+01 1.7714e+01 4.9552e+03 3.2213e+03 0.0000e+00 0.0000e+00
1.3658e-02 2.3327e+04 6.8497e+01 -3.6140e+01 4.6824e+04 2.3463e+04 7.8359e+00 1.9222e+03 7.4335e+01 2.6242e+01 2.0325e+01 4.8860e+03 3.1567e+03 0.0000e+00 0.0000e+00
1.6082e-02 2.3690e+04 9.2967e+01 -4.6836e+01 4.7610e+04 2.3901e+04 1.5807e+01 1.9174e+03 1.0331e+02 2.6915e+01 2.2033e+01 4.7971e+03 3.0780e+03 0.0000e+00 0.0000e+00
1.8937e-02 2.3399e+04 1.2186e+02 -5.7944e+01 4.7116e+04 2.3702e+04 2.8907e+01 1.9109e+03 1.4253e+02 2.4263e+01 2.2090e+01 4.6849e+03 2.9838e+03 0.0000e+00 0.0000e+00
2.2298e-02 2.2361e+04 1.5335e+02 -6.7787e+01 4.5148e+04 2.2760e+04 4.9146e+01 1.9021e+03 1.9446e+02 1.6814e+01 1.9726e+01 4.5463e+03 2.8734e+03 0.0000e+00 0.0000e+00
2.6256e-02 2.0581e+04 1.8431e+02 -7.4211e+01 4.1702e+04 2.1083e+04 7.8450e+01 1.8904e+03 2.6111e+02 3.7589e+00 1.4368e+01 4.3789e+03 2.7464e+03 0.0000e+00 0.0000e+00
3.0917e-02 1.8217e+04 2.1116e+02 -7.5340e+01 3.7096e+04 1.8835e+04 1.1803e+02 1.8747e+03 3.4342e+02 -1.5237e+01 5.8628e+00 4.1812e+03 2.6026e+03 0.0000e+00 0.0000e+00
3.6405e-02 1.5605e+04 2.3183e+02 -7.0736e+01 3.1994e+04 1.6342e+04 1.6781e+02 1.8539e+03 4.4077e+02 -3.9668e+01 -5.5767e+00 3.9521e+03 2.4424e+03 0.0000e+00 0.0000e+00
4.2867e-02 1.3184e+04 2.4798e+02 -6.2178e+01 2.7272e+04 1.4039e+04 2.2690e+02 1.8267e+03 5.5146e+02 -6.9219e+01 -1.9900e+01 3.6912e+03 2.2678e+03 0.0000e+00 0.0000e+00
5.0475e-02 1.1292e+04 2.6443e+02 -5.2458e+01 2.3628e+04 1.2289e+04 2.9552e+02 1.7914e+03 6.7468e+02 -1.0506e+02 -3.7913e+01 3.3990e+03 2.0828e+03 0.0000e+00 0.0000e+00
5.9435e-02 9.9204e+03 2.8269e+02 -4.1607e+01 2.1050e+04 1.1089e+04 3.7728e+02 1.7464e+03 8.1194e+02 -1.4946e+02 -6.0880e+01 3.0796e+03 1.8939e+03 0.0000e+00 0.0000e+00
6.9985e-02 8.5972e+03 2.9099e+02 -2.3848e+01 1.8572e+04 9.9462e+03 4.7535e+02 1.6898e+03 9.6237e+02 -2.0092e+02 -8.7820e+01 2.7449e+03 1.7068e+03 0.0000e+00 0.0000e+00
8.2407e-02 6.8455e+03 2.7004e+02 5.4808e+00 1.5155e+04 8.2971e+03 5.7866e+02 1.6204e+03 1.1096e+03 -2.4911e+02 -1.1281e+02 2.4116e+03 1.5234e+03 0.0000e+00 0.0000e+00
9.7035e-02 5.0496e+03 2.2739e+02 3.4700e+01 1.1546e+04 6.5054e+03 6.5887e+02 1.5379e+03 1.2223e+03 -2.8250e+02 -1.2955e+02 2.0903e+03 1.3441e+03 0.0000e+00 0.0000e+00
1.1426e-01 3.9573e+03 1.9123e+02 4.8658e+01 9.3435e+03 5.4347e+03 7.0796e+02 1.4433e+03 1.2937e+03 -3.0514e+02 -1.4040e+02 1.7808e+03 1.1739e+03 0.0000e+00 0.0000e+00
1.3454e-01 3.2076e+03 1.5150e+02 5.6706e+01 7.8244e+03 4.7177e+03 7.4847e+02 1.3378e+03 1.3453e+03 -3.2402e+02 -1.4889e+02 1.4910e+03 1.0177e+03 0.0000e+00 0.0000e+00
1.5842e-01 2.3268e+03 9.9288e+01 6.3437e+01 5.9355e+03 3.7480e+03 7.6180e+02 1.2235e+03 1.3554e+03 -3.2906e+02 -1.4942e+02 1.2337e+03 8.7369e+02 0.0000e+00 0.0000e+00
1.8654e-01 1.7681e+03 4.9360e+01 5.8438e+01 4.6782e+03 3.1065e+03 7.3769e+02 1.1037e+03 1.3164e+03 -3.2216e+02 -1.4339e+02 1.0064e+03 7.4338e+02 0.0000e+00 0.0000e+00
2.1965e-01 1.3004e+03 1.3018e+00 4.8329e+01 3.5734e+03 2.5182e+03 6.9460e+02 9.8167e+02 1.2477e+03 -3.0841e+02 -1.3361e+02 8.1095e+02 6.2714e+02 0.0000e+00 0.0000e+00
2.5864e-01 9.5181e+02 -4.2742e+01 3.3716e+01 2.6915e+03 2.0329e+03 6.2684e+02 8.6072e+02 1.1456e+03 -2.8686e+02 -1.1996e+02 6.4584e+02 5.2415e+02 0.0000e+00 0.0000e+00
3.0455e-01 6.8141e+02 -7.9029e+01 1.6868e+01 1.9630e+03 1.6116e+03 5.4467e+02 7.4382e+02 1.0224e+03 -2.6064e+02 -1.0443e+02 5.0835e+02 4.3382e+02 0.0000e+00 0.0000e+00
3.5861e-01 4.7937e+02 -1.0650e+02 2.2052e-01 1.3808e+03 1.2562e+03 4.5346e+02 6.3339e+02 8.8533e+02 -2.3101e+02 -8.8044e+01 3.9519e+02 3.5523e+02 0.0000e+00 0.0000e+00
4.2226e-01 3.2847e+02 -1.2284e+02 -1.3825e+01 9.2121e+02 9.5496e+02 3.6003e+02 5.3119e+02 7.4270e+02 -1.9936e+02 -7.1797e+01 3.0300e+02 2.8740e+02 0.0000e+00 0.0000e+00
4.9721e-01 2.1779e+02 -1.2707e+02 -2.3345e+01 5.7167e+02 7.0364e+02 2.7092e+02 4.3839e+02 6.0221e+02 -1.6694e+02 -5.6498e+01 2.2862e+02 2.2937e+02 0.0000e+00 0.0000e+00
5.8547e-01 1.3875e+02 -1.1965e+02 -2.7301e+01 3.2082e+02 4.9951e+02 1.9191e+02 3.5568e+02 4.7073e+02 -1.3503e+02 -4.2773e+01 1.6932e+02 1.8028e+02 0.0000e+00 0.0000e+00
6.8939e-01 8.4453e+01 -1.0298e+02 -2.6024e+01 1.5545e+02 3.4017e+02 1.2726e+02 2.8338e+02 3.5396e+02 -1.0501e+02 -3.1070e+01 1.2277e+02 1.3933e+02 0.0000e+00 0.0000e+00
8.1176e-01 4.9007e+01 -8.1229e+01 -2.1197e+01 5.8472e+01 2.2203e+02 7.8833e+01 2.2153e+02 2.5585e+02 -7.8250e+01 -2.1630e+01 8.6992e+01 1.0577e+02 0.0000e+00 0.0000e+00
9.5585e-01 2.7186e+01 -5.9042e+01 -1.5122e+01 9.9888e+00 1.3938e+02 4.5765e+01 1.6984e+02 1.7804e+02 -5.5843e+01 -1.4451e+01 6.0209e+01 7.8853e+01 0.0000e+00 0.0000e+00
1.1255e+00 1.4530e+01 -3.9975e+01 -9.6718e+00 -9.0855e+00 8.4769e+01 2.5116e+01 1.2775e+02 1.1974e+02 -3.8271e+01 -9.3042e+00 4.0745e+01 5.7766e+01 0.0000e+00 0.0000e+00
1.3253e+00 7.5618e+00 -2.5587e+01 -5.6910e+00 -1.3361e+01 5.0400e+01 1.3190e+01 9.4363e+01 7.8239e+01 -2.5328e+01 -5.8088e+00 2.7022e+01 4.1640e+01 0.0000e+00 0.0000e+00
1.5605e+00 3.8725e+00 -1.5723e+01 -3.1603e+00 -1.1775e+01 2.9542e+01 6.7091e+00 6.8544e+01 4.9965e+01 -1.6297e+01 -3.5404e+00 1.7614e+01 2.9583e+01 0.0000e+00 0.0000e+00
1.8375e+00 1.9681e+00 -9.4007e+00 -1.6920e+00 -8.7294e+00 1.7181e+01 3.3378e+00 4.9045e+01 3.1353e+01 -1.0263e+01 -2.1198e+00 1.1320e+01 2.0752e+01 0.0000e+00 0.0000e+00
2.1637e+00 9.9846e-01 -5.5230e+00 -8.8700e-01 -5.9370e+00 9.9570e+00 1.6347e+00 3.4628e+01 1.9417e+01 -6.3605e+00 -1.2531e+00 7.1928e+00 1.4397e+01 0.0000e+00 0.0000e+00
2.5478e+00 5.0754e-01 -3.2105e+00 -4.6005e-01 -3.8425e+00 5.7649e+00 7.9071e-01 2.4164e+01 1.1909e+01 -3.8964e+00 -7.3430e-01 4.5287e+00 9.8924e+00 0.0000e+00 0.0000e+00
3.0000e+00 2.5907e-01 -1.8550e+00 -2.3761e-01 -2.4118e+00 3.3397e+00 3.7810e-01 1.6690e+01 7.2527e+00 -2.3670e+00 -4.2771e-01 2.8307e+00 6.7404e+00 0.0000e+00 0.0000e+00
